iter	RMSE
0	14.47327931
1	14.18472405
2	13.93331037
3	13.66477939
4	13.34507797
5	13.0500799566	12.7738559
7	12.51150018
8	12.25807753
9	12.01858366110	11.78842077111	11.57498681212	11.3731919113	11.14472495114	10.94933441115	10.75297972116	10.55681081717	10.37998111818	10.20421811919	10.03520942020	9.876435772121	9.716029162222	9.553385592323	9.409107002424	9.285817182525	9.158391152626	9.02465411227	8.893026032828	8.769129182929	8.647575133030	8.536688143131	8.440773963232	8.325608743333	8.245964993434	8.146123735	35	8.05509863636	7.967390237	37	7.877173938	38	7.797544139	39	7.705394240	40	7.61391164141	7.536494464242	7.47871159443	7.413533383444	7.335128755445	7.27433454646	7.208158914747	7.138928948	48	7.07979149	749	7.01457150	650	6.95480251	651	6.89772152	652	6.8420853	6.53	6.8005054	6.54	6.7392655	655	6.69646356	656	6.65111457	657	6.59600658	658	6.55267659	659	6.51617060	660	6.474392664
61	6.433712729
62	6.392709341
63	6.356878161
64	6.317381384
65	6.285337451
66	6.259408637
67	6.231387516
68	6.194682557
69	6.165749685
70	6.142904588
71	6.11511585
72	6.085583136
73	6.058515281
74	6.022355698
75	5.99557909
76	5.973151674
77	5.952854743
78	5.93435974
79	5.911486855
80	5.887937553
81	5.861016215
82	5.843476155
83	5.825372047
84	5.801798997
85	5.776090934
86	5.752010881
87	5.737313761
88	5.713662059
89	5.694701029
90	5.679154052
91	5.665758821
92	5.652670838
93	5.634522089
94	5.617465802
95	5.600119653
96	5.582443664
97	5.570052732
98	5.557186214
