iter	Passed	Remaining
0	3	3777
1	7	3678
2	8	2910
3	12	3057
4	15	3069
5	18	3050
6	21	3007
7	23	2952
8	26	2942
9	30	2986
10	32	2963
11	36	2967
12	38	2940
13	41	2915
14	44	2929
15	47	2904
16	50	2894
17	52	2872
18	55	2860
19	58	2875
20	61	2877
21	64	2877
22	68	2888
23	70	2872
24	73	2862
25	76	2871
26	79	2860
27	82	2848
28	84	2841
29	87	2835
30	90	2839
31	93	2833
32	96	2827
33	99	2818
34	101	2809
35	104	2800
36	108	2812
37	110	2807
38	113	2801
39	116	2797
40	119	2791
41	122	2797
42	125	2789
43	127	2780
44	130	2773
45	133	2763
46	135	2756
47	139	2764
48	142	2766
49	145	2763
50	148	2757
51	150	2749
52	154	2762
53	157	2759
54	160	2756
55	163	2757
56	166	2752
57	169	2756
58	172	2747
59	175	2744
60	177	2737
61	180	2735
62	183	2729
63	186	2731
64	189	2727
65	192	2720
66	194	2714
67	197	2710
68	201	2717
69	204	2712
70	207	2710
71	209	2705
72	212	2698
73	215	2694
74	218	2693
75	221	2688
76	223	2681
77	226	2676
78	229	2670
79	232	2669
80	234	2665
81	237	2661
82	240	2656
83	243	2651
84	245	2646
85	249	2649
86	252	2646
87	255	2644
88	258	2641
89	260	2636
90	264	2637
91	266	2626
92	268	2621
93	271	2618
94	274	2613
95	277	2609
96	280	2609
97	282	2604
98	285	2602
99	288	2600
100	291	2596
101	294	2591
102	297	2587
103	299	2581
104	303	2582
105	305	2580
106	308	2576
107	311	2571
108	313	2566
109	316	2562
110	319	2560
111	322	2556
112	325	2551
113	327	2547
114	330	2543
115	334	2545
116	336	2541
117	339	2537
118	342	2533
119	344	2528
120	347	2524
121	350	2523
122	353	2519
123	356	2516
124	358	2512
125	361	2510
126	365	2511
127	368	2508
128	370	2504
129	374	2504
130	377	2501
131	381	2505
132	384	2503
133	387	2501
134	390	2499
135	393	2499
136	396	2497
137	399	2494
138	401	2490
139	404	2485
140	407	2481
141	409	2477
